order_id,order_line,order_date,model,quantity,price,total_price,bikeshop_name,category_1,category_2,frame_material,city,state
1,1,2011-01-07,Jekyll Carbon 2,1,6070,6070,Ithaca Mountain Climbers,Mountain,Over Mountain,Carbon,Ithaca,NY
1,2,2011-01-07,Trigger Carbon 2,1,5970,5970,Ithaca Mountain Climbers,Mountain,Over Mountain,Carbon,Ithaca,NY
2,1,2011-01-10,Beast of the East 1,1,2770,2770,Kansas City 29ers,Mountain,Trail,Aluminum,Kansas City,KS
2,2,2011-01-10,Trigger Carbon 2,1,5970,5970,Kansas City 29ers,Mountain,Over Mountain,Carbon,Kansas City,KS
3,1,2011-01-10,Supersix Evo Hi-Mod Team,1,10660,10660,Louisville Race Equipment,Road,Elite Road,Carbon,Louisville,KY
3,2,2011-01-10,Jekyll Carbon 4,1,3200,3200,Louisville Race Equipment,Mountain,Over Mountain,Carbon,Louisville,KY
3,3,2011-01-10,Supersix Evo Black Inc.,1,12790,12790,Louisville Race Equipment,Road,Elite Road,Carbon,Louisville,KY
3,4,2011-01-10,Supersix Evo Hi-Mod Dura Ace 2,1,5330,5330,Louisville Race Equipment,Road,Elite Road,Carbon,Louisville,KY
3,5,2011-01-10,Synapse Disc 105,1,1570,1570,Louisville Race Equipment,Road,Endurance Road,Aluminum,Louisville,KY
4,1,2011-01-11,Synapse Carbon Disc Ultegra D12,1,4800,4800,Ann Arbor Speed,Road,Endurance Road,Carbon,Ann Arbor,MI
5,1,2011-01-11,Catalyst 3,1,480,480,Denver Bike Shop,Mountain,Sport,Aluminum,Denver,CO
5,2,2011-01-11,F-Si Black Inc.,2,11190,22380,Denver Bike Shop,Mountain,Cross Country Race,Carbon,Denver,CO
5,3,2011-01-11,Synapse Disc Tiagra,1,1250,1250,Denver Bike Shop,Road,Endurance Road,Aluminum,Denver,CO
5,4,2011-01-11,F-Si 2,1,2060,2060,Denver Bike Shop,Mountain,Cross Country Race,Aluminum,Denver,CO
6,1,2011-01-11,SuperX 105,1,1960,1960,Phoenix Bi-peds,Road,Cyclocross,Carbon,Phoenix,AZ
6,2,2011-01-11,Slice Hi-Mod Dura Ace D12,1,4500,4500,Phoenix Bi-peds,Road,Triathalon,Carbon,Phoenix,AZ
6,3,2011-01-11,Habit 5,1,2340,2340,Phoenix Bi-peds,Mountain,Trail,Aluminum,Phoenix,AZ
6,4,2011-01-11,Synapse Carbon 105,1,2240,2240,Phoenix Bi-peds,Road,Endurance Road,Carbon,Phoenix,AZ
7,1,2011-01-12,Supersix Evo Hi-Mod Team,1,10660,10660,Minneapolis Bike Shop,Road,Elite Road,Carbon,Minneapolis,MN
7,2,2011-01-12,CAAD12 Ultegra,1,2240,2240,Minneapolis Bike Shop,Road,Elite Road,Aluminum,Minneapolis,MN
7,3,2011-01-12,Supersix Evo Tiagra,1,1840,1840,Minneapolis Bike Shop,Road,Elite Road,Carbon,Minneapolis,MN
7,4,2011-01-12,Scalpel 29 4,1,3200,3200,Minneapolis Bike Shop,Mountain,Cross Country Race,Aluminum,Minneapolis,MN
7,5,2011-01-12,Habit 5,1,2340,2340,Minneapolis Bike Shop,Mountain,Trail,Aluminum,Minneapolis,MN
7,6,2011-01-12,Scalpel-Si Black Inc.,1,12790,12790,Minneapolis Bike Shop,Mountain,Cross Country Race,Carbon,Minneapolis,MN
7,7,2011-01-12,Supersix Evo Ultegra 3,1,3200,3200,Minneapolis Bike Shop,Road,Elite Road,Carbon,Minneapolis,MN
7,8,2011-01-12,F-Si Hi-Mod Team,1,9060,9060,Minneapolis Bike Shop,Mountain,Cross Country Race,Carbon,Minneapolis,MN
7,9,2011-01-12,Scalpel-Si 5,1,3200,3200,Minneapolis Bike Shop,Mountain,Cross Country Race,Aluminum,Minneapolis,MN
7,10,2011-01-12,CAAD8 105,2,1410,2820,Minneapolis Bike Shop,Road,Elite Road,Aluminum,Minneapolis,MN
7,11,2011-01-12,Catalyst 3,1,480,480,Minneapolis Bike Shop,Mountain,Sport,Aluminum,Minneapolis,MN
7,12,2011-01-12,Slice 105,1,1950,1950,Minneapolis Bike Shop,Road,Triathalon,Carbon,Minneapolis,MN
